data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7074394,887,YEM52060,52060,"02 May 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","National Resistance Forces",,3,,,0,30,"Middle East",Yemen,"Al Hudaydah","Al Hali",,"Al Hudaydah-Engineering College",14.805,42.996,1,"Yemen Data Project; Ansar Allah","Local partner-National","On 2 May 2020, anti-Houthi National Resistance forces reportedly fired machine guns, assumedly heavy, at 7 July and Engineering College areas of Hudaydah city (Al Hali, Al Hudaydah). No fatalities nor injuries reported.",0,1588614088,YEM
7074393,887,YEM52059,52059,"02 May 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","National Resistance Forces",,3,,,0,30,"Middle East",Yemen,"Al Hudaydah","Al Hali",,"Al Hudaydah-7 July",14.8033,42.9809,1,"Ansar Allah; Yemen Data Project","Local partner-National","On 2 May 2020, anti-Houthi National Resistance forces reportedly fired machine guns, assumedly heavy, at 7 July and Engineering College areas of Hudaydah city (Al Hali, Al Hudaydah). No fatalities nor injuries reported.",0,1588614088,YEM
7074392,887,YEM52058,52058,"02 May 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Operation Restoring Hope",,8,,,0,80,"Middle East",Yemen,"Al Bayda","Al Malagim",,Afar,14.2624,45.3188,1,"Yemen Data Project; Ansar Allah","Local partner-National","On 2 May 2020, Saudi-led coalition airstrikes reportedly targeted the customs of Afar area (Al Malagim, Al Bayda), destroying food trucks. No fatalities nor injuries reported.",0,1588614088,YEM
7074391,887,YEM52057,52057,"02 May 2020",2020,1,"Strategic developments","Looting/property destruction","Unidentified Armed Group (Yemen)",,3,"Civilians (Yemen)","Health Workers (Yemen)",7,37,"Middle East",Yemen,Aden,Craiter,,Aden-Sira,12.7792,45.0494,1,"Crater Sky; Yemen Data Project","Local partner-National","On 2 May 2020, dozens of unidentified armed men over two military vehicles reportedly stormed the Health office in Sira neighbourhood of Aden city (Craiter, Aden), confiscating 12 sprinklers devices for disinfection in the context of the Coronavirus spreading in Yemen.",0,1588614088,YEM
7074390,887,YEM52056,52056,"02 May 2020",2020,1,Riots,"Violent demonstration","Rioters (Yemen)",,5,,,0,50,"Middle East",Yemen,Aden,Craiter,,Aden-Kraytar,12.7775,45.0328,2,"Yemen Data Project; Crater Sky","Local partner-National","On 2 May 2020, demonstrators reportedly blocked Arwa road (Craiter, Aden) burning material, as they demanded the replacement of the district's director and shouted their malcontent for the the deteriorating conditions of the main services, the spread of epidemics and diseases, and the lack of necessary health services. These protests take place in the context of the coronavirus spreading in Yemen. [size=no report]",0,1588614088,YEM
7074389,887,YEM52055,52055,"02 May 2020",2020,1,Protests,"Peaceful protest","Protesters (Yemen)",,6,,,0,60,"Middle East",Yemen,Aden,Attawahi,,"Aden-At Tawahi",12.7847,44.9802,2,"Yemen Data Project; Crater Sky","Local partner-National","On 2 May 2020, demonstrators took the streets in At Tawahi district (Aden), demanding the pro-Hadi government and the STC to leave. [size=no report]",0,1588614088,YEM
7083886,887,YEM52048,52048,"01 May 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-) Security Belt Forces","STC: Southern Transitional Council",1,"Military Forces of Yemen (2012-)","Operation Restoring Hope; Military Forces of Saudi Arabia (2015-)",1,11,"Middle East",Yemen,Suqutra,Hidaybu,,Qadub,12.6343,53.9513,1,"Twitter; Aden News; Yemen Data Project","Local partner-National","On 1 May 2020, pro-Hadi forces reportedly clashed with pro-STC forces, coded as Security Belt forces by default due to the lack of more precise information, in Qadub area (Hidaybu, Suqutra), located 7km west of Hadibu, as the latter attempted to make their way to the capital city of the island. Both sides suffered the death of one soldier while five pro-STC fighters were also reported injured before Saudi forces intervened to stop the clashes.",2,1589248044,YEM
7083885,887,YEM52045,52045,"01 May 2020",2020,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Yemen)",,3,"Military Forces of Yemen (2012-)","Al Islah Party",1,13,"Middle East",Yemen,Marib,Marib,,"Al Alam al Aswad",15.9333,45.7667,2,"Mocha News; Yemen Data Project","Local partner-National","On 1 May 2020, an IED of unknown origin reportedly detonated and targeted a pro-Hadi Islah military truck directed at Al Alam military camp (Marib, Marib), killing 2 soldiers.",2,1589248044,YEM
7083884,887,YEM52043,52043,"01 May 2020",2020,1,"Violence against civilians",Attack,"Military Forces of Yemen (2016-) Supreme Political Council",,1,"Civilians (Yemen)","AQAP: Al Qaeda in the Arabian Peninsula",7,17,"Middle East",Yemen,Dhamar,Utmah,,"Suq ar Rubu",14.5115,44.0151,2,"Debriefer; Al Anba; Yemen Data Project; Khabar News Agency (Yemen)","Local partner-National","On 1 May 2020, three pro-Houthi military vehicles reportedly besieged a mosque in Makad village of As Silm area in Utmah district (Dhamar), killing a civilian that was praying inside the mosque. The man was accused of recruiting soldiers for the pro-Hadi forces. On 3 May, pro-Houthi forces announced that they had in fact killed the imam of the mosque, who was the IS Emir for Uthmah and Wusab districts, before correcting on 5 May that he was loyal to AQAP and not IS. Some, however, dismissed this claim as propaganda to cover the Houhi killing.",1,1589248044,YEM
7083883,887,YEM52040,52040,"01 May 2020",2020,1,Battles,"Armed clash","National Resistance Forces","Guardians of the Republic",3,"Private Security Forces (Yemen)","Tihama Resistance",8,38,"Middle East",Yemen,"Al Hudaydah","Al Khawkhah",,"Al Khawkhah",13.8071,43.2493,1,"Al Anba; File Press; Yemen Data Project; Al Khabar al Yemeni","Local partner-National","On 1 May 2020, unidentified armed men reportedly attempted to kill a Tihama Resistance commander as he returned to his home in Al Jufayra neighbourhood of Al Khawkhah city (Al Hudaydah) after Friday prayer. The gunmen allegedly fled after clashes erupted with the private guards of the house following their attempt to launch a grenade. No fatalities nor injuries were reported. On 4 May, Tihama Resistance forces accused Tareq Saleh's Guardians of the Republic and called for a popular uprising against them.",0,1589248044,YEM
7083882,887,YEM52037,52037,"01 May 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","Popular Resistance",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,"Al Bayda","Dhi Naim",,"Al Humayqan",14.0758,45.4949,2,"Yemen Data Project; Khabar News Agency (Yemen)","Local partner-National","On 1 May 2020, pro-Hadi and ""Resistance"" fighters reportedly thwarted pro-Houthi incursions in Al Wahbiyah (As Sawadiyah, Al Bayda), Al Humayqan (Dhi Naim, Al Bayda) and Al Hazamiyah (As Sawmaah) frontlines, killing and injuring several pro-Houthi fighters. Unknown number of fatalitie coded as 10 and split up between 3 events.",3,1589248044,YEM
